Year,0-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
1988,0.0,37.03703703703704,62.5,117.6470588235294,197.91666666666666,187.5,207.3170731707317,189.32038834951456,168.75
1989,18.51851851851852,46.875,44.11764705882353,88.70967741935483,145.83333333333334,201.38888888888889,185.1851851851852,204.54545454545453,164.55696202531647
1990,9.25925925925926,55.55555555555556,66.66666666666667,94.33962264150944,131.86813186813185,174.49664429530202,176.21145374449338,172.16981132075472,154.25531914893617
1991,0.0,22.727272727272727,54.054054054054056,147.05882352941177,155.0,179.85611510791367,142.07650273224044,180.80357142857142,166.66666666666666
1992,39.473684210526315,22.727272727272727,66.66666666666667,115.94202898550725,143.56435643564356,184.04907975460122,174.36974789915968,181.6239316239316,129.80769230769232
1993,30.303030303030305,29.41176470588235,16.666666666666668,122.64150943396227,172.04301075268816,187.8048780487805,213.95348837209303,180.72289156626505,105.88235294117646
1994,40.064798423461035,69.80957915968685,94.21289907075167,119.2907444668008,141.12719498089797,161.02369728627852,180.93019562167456,217.23851387033642,273.7417615338526
1995,33.32556513633186,57.33726427813831,82.43480347314907,109.25311361599054,125.65356110761556,145.99788866476896,173.53759812541455,212.5767940394754,226.01755246292507
1996,13.654439436373185,35.42075556801697,65.51278444580406,114.9880612436735,147.48893001053477,170.72332996062366,190.4705833633112,216.5353147711495,218.78401290484842
1997,13.002185449731273,33.2472705516718,61.9396073392352,108.81339546874226,140.87551429142655,167.0127238071124,192.06779703481925,212.13309564190985,216.35610766045548
1998,11.838395589889235,31.109987547806007,59.552539345416854,105.51585985275236,135.56982467193163,165.3702403686449,197.9282140241294,225.8899178048869,241.87889954939644
1999,10.794403398669091,23.882842283238293,44.75423680924702,75.5994765691768,105.42258397981205,121.51703633862805,155.51880749905507,183.88552591675395,254.92596724117448
2000,16.295336192845802,25.102988116905642,45.176890067845,76.04713902780833,106.43840807643194,122.1803700005275,153.1542835205859,184.85932722569953,247.70774659945008
2001,16.64480315606206,25.41108251475271,46.09543636101818,75.61339195357411,107.65971904220275,123.83792453849553,155.5250036739358,190.92192635552678,240.6286165055594
2002,15.940659113342313,24.028231584178208,43.19267848630058,71.87859585276048,102.43307023872806,118.05722120125047,147.82687728916517,185.34724536621633,238.80863066823437
2003,16.639397080853573,23.946247380399296,41.117863953499196,67.79541671741981,96.19929254986704,114.32004599118784,143.7396487629362,185.29881635521213,239.83930464418165
2004,17.90256157890647,22.989004384702636,39.42975975482953,67.12549219314275,94.22379159762606,115.75070010652833,144.4366017471687,183.89893083250016,236.81186220396637
2005,16.996986509212558,21.793772778086918,36.893976717815974,62.29791562326557,86.6606355754079,107.542924987193,134.7628901890416,171.9851667905361,232.33539299544117
2006,18.055563477893823,24.855816003218624,40.21966191968473,67.28211968896505,90.27382370930404,109.63566508400783,133.4867530462559,169.04491514147614,229.73283418070952
2007,19.435557619388124,25.301144491429323,40.630753958174004,68.28034841001241,90.0960391819806,109.83152764393675,131.08170431116002,166.1694897867347,226.14207334324158
2008,20.194757227560366,25.655185565556298,40.54577197773089,68.53961296599599,88.66015874960857,109.76626986061868,128.55950789353355,163.04969518428513,221.56043871922566
2009,20.121480074980855,27.009842494419228,43.14062705785369,73.13574809131057,92.51517185530182,113.9910920052653,131.1350482493619,163.74602617968915,218.25821050663313
2010,21.394634916500713,29.579298222340142,44.767915003446326,75.8809819534887,93.4748655503779,114.19963342402835,130.03587814435585,160.5216568312794,216.20900695052384
2011,21.05376349077046,29.447822034857893,44.41210995178517,76.35681711245431,93.10632708912962,113.28029387247707,128.29838117952198,160.42390207219782,198.92530997854968
2012,22.00668957102651,27.347158619164887,42.05165143725877,74.49228505843175,91.98395588642181,112.22586744333425,131.28719642872326,154.79296217598107,207.56935353220774
2013,21.26061386766303,28.025341985485593,45.335333793034934,80.97230557455755,100.14239571754182,118.3996767466129,140.10182716017079,162.90734195074597,206.17904725678906
2014,23.054902160979843,31.724229524468583,48.22036817765975,82.45208964205993,99.55003413164451,114.93963530394264,130.7269534737102,156.68324779872796,205.2471413426735
2015,24.67539069871242,30.520407868055685,45.90276747940928,78.8935869228434,97.14577514609002,111.96547119641363,131.1637836950502,159.14583355021014,190.0432304635863
2016,25.937884635597523,33.045290188147334,50.92517720565323,85.25649054375637,104.03748487144973,117.26195426959315,137.10646013461394,164.61618040346457,189.75979851774997
2017,29.899160031780493,30.122044856130117,45.61379338552099,75.65764864769089,93.6102917827199,105.07779741654481,123.13144088464635,154.2221977129196,182.0882440543654
2018,43.68842985819376,33.299138618859196,42.28235070106728,65.84212092763309,82.92701028220522,93.88608837471851,114.14011141746404,140.81637893403405,153.18731101854397
2019,73.65127127352254,48.08692104189426,37.469070342877345,48.482712725292295,62.744946797227826,64.81027361063279,78.86052833084072,67.14133477629494,212.2093827524831
