Year,Africa,Americas,Asia,Europe,Oceania
1988,,326,,,
1989,,311,,,
1990,,275,,,
1991,,262,,,
1992,,310,,,
1993,,329,,,
1994,,298,51919.0,117585.0,
1995,,768,426219.0,172480.0,
1996,60433.0,544518,419993.0,377689.0,
1997,58779.0,737869,414413.0,497442.0,
1998,64574.0,861582,425662.0,1055060.0,51862.0
1999,65942.0,1852726,524210.0,1529373.0,51328.0
2000,222667.0,1922969,526728.0,1692261.0,60815.0
2001,242310.0,1955494,513059.0,2123758.0,63866.0
2002,255460.0,1962017,556335.0,2179759.0,63835.0
2003,267933.0,1701196,572659.0,2360887.0,62151.0
2004,277851.0,1665608,478839.0,2286051.0,61022.0
2005,276185.0,1674252,494310.0,2376379.0,12872.0
2006,288002.0,1657161,626557.0,2259060.0,59045.0
2007,300312.0,1656445,642441.0,2323367.0,59632.0
2008,306802.0,1671954,677422.0,2247960.0,61401.0
2009,323548.0,1657331,789118.0,2329837.0,59152.0
2010,319122.0,1693689,847462.0,2307969.0,55695.0
2011,316510.0,1687079,834998.0,2224912.0,58504.0
2012,340523.0,1708812,678238.0,2273276.0,56661.0
2013,313109.0,1733735,802426.0,2277849.0,53381.0
2014,348067.0,1750023,1005725.0,2285310.0,55430.0
2015,366754.0,1748819,839124.0,2330353.0,55899.0
2016,277675.0,1772739,864800.0,2229414.0,53993.0
2017,275193.0,1799263,519745.0,1676418.0,43813.0
2018,293778.0,488645,499947.0,1205784.0,41980.0
2019,309896.0,6235,310823.0,216442.0,
