Year,Male,Female
1988,175,151
1989,140,171
1990,127,148
1991,111,151
1992,156,154
1993,162,167
1994,87614,82188
1995,296195,303271
1996,704918,696664
1997,857583,849021
1998,1190508,1267414
1999,1927946,2095106
2000,2127584,2297472
2001,2352006,2545993
2002,2404876,2612077
2003,2362030,2602431
2004,2280995,2488133
2005,2312415,2521364
2006,2357705,2531935
2007,2404579,2577405
2008,2394677,2570705
2009,2505757,2652888
2010,2539687,2684049
2011,2495933,2625841
2012,2452789,2604425
2013,2530822,2649329
2014,2681725,2762495
2015,2608630,2732019
2016,2567206,2631274
2017,2118285,2195889
2018,1233585,1296358
2019,428444,414950
