Year,Sex,All_deaths
1988,Male,175
1988,Female,151
1989,Male,140
1989,Female,171
1990,Male,127
1990,Female,148
1991,Male,111
1991,Female,151
1992,Male,156
1992,Female,154
1993,Male,162
1993,Female,167
1994,Male,87614
1994,Female,82188
1995,Male,296195
1995,Female,303271
1995,Female,1
1996,Male,704918
1996,Female,696664
1996,Female,1051
1997,Male,857583
1997,Female,849021
1997,Female,1899
1998,Male,1190508
1998,Female,1267414
1998,Female,818
1999,Male,1927946
1999,Female,2095106
1999,Female,527
2000,Male,2127584
2000,Female,2297472
2000,Female,384
2001,Male,2352006
2001,Female,2545993
2001,Female,488
2002,Male,2404876
2002,Female,2612077
2002,Female,453
2003,Male,2362030
2003,Female,2602431
2003,Female,365
2004,Male,2280995
2004,Female,2488133
2004,Female,243
2005,Male,2312415
2005,Female,2521364
2005,Female,219
2006,Male,2357705
2006,Female,2531935
2006,Female,185
2007,Male,2404579
2007,Female,2577405
2007,Female,213
2008,Male,2394677
2008,Female,2570705
2008,Female,157
2009,Male,2505757
2009,Female,2652888
2009,Female,341
2010,Male,2539687
2010,Female,2684049
2010,Female,201
2011,Male,2495933
2011,Female,2625841
2011,Female,229
2012,Male,2452789
2012,Female,2604425
2012,Female,296
2013,Male,2530822
2013,Female,2649329
2013,Female,349
2014,Male,2681725
2014,Female,2762495
2014,Female,335
2015,Male,2608630
2015,Female,2732019
2015,Female,300
2016,Male,2567206
2016,Female,2631274
2016,Female,141
2017,Male,2118285
2017,Female,2195889
2017,Female,258
2018,Male,1233585
2018,Female,1296358
2018,Female,191
2019,Male,428444
2019,Female,414950
2019,Female,2
